,client,site,date,accuracy cameras. m,Number of images,Flying altitude,Ground resolution,Coverage area,Tie points,Projections,Camera Model,Resolution,Pixel Size,Total (cm),Matching time,Alignment time,X error (cm),Y error (cm),Z error (cm),XY error (cm),Total (cm).1,Resolution.1,Point density,Coordinate system,RMS reprojection error,Max reprojection error,Mean key point size,Effective overlap,Accuracy,Optimization time,Depth maps generation time,Dense cloud generation time,control photoscan,accuracy cameras,camera model,resolution,number of photos,"Average camera location error, cm","fact accuracy in photoscans,cm",image overlap,fractional dem-diff,fractional dd colours,volume control,monitoring area,result
536,lennar,innovation-village,2019-09-29,0.05,384.0,129.0,3.53,0.4632,867666.0,3128706.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,2.5,127.0,292.0,2.8,2.6,1.2,3.8,4.0,12.7,62.32,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.12689 (1.18159 pix),0.799933 (42.8975 pix),8.00294,3.86644,Medium,20.0,654.0,263.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,384.0,3.0,4.0,good overlapping,good,white,TRUE,True,acceptable
538,lennar,gateway,2019-09-29,0.05,347.0,135.0,3.68,0.3922,896372.0,3863858.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,3.1,162.0,291.0,1.3,1.9,1.2,2.3,2.6,13.2,57.72,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.120293 (1.13003 pix),0.528377 (47.4594 pix),7.66571,4.76004,Medium,21.0,744.0,333.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,347.0,3.0,2.6,good overlapping,good,white,TRUE,True,good
543,brookfield-residential-la,the-groves,2019-09-30,0.05,855.0,119.0,2.45,0.5132,2903422.0,15086326.0,senseFly Aeria X (18.5 mm),6000 x 4000,3.91 x 3.91 um,40.9,7560.0,635.0,2.9,2.2,3.7,3.6,5.2,9.19,1182.0,NAD83 / California zone 5 (ftUS) (EPSG::2229),0.174855 (0.737905 pix),1.72073 (46.3341 pix),4.00103,5.62596,High,146.0,2529.0,1581.0,good,0.05,senseFly Aeria X (18.5 mm),6000 x 4000,855.0,41.0,5.2,good overlapping,good,white,TRUE,True,good
542,sukut-construction,1307-altamont-landfill,2019-09-30,0.05,749.0,198.0,5.43,1.512,1664809.0,6908738.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,2.3,264.0,511.0,1.3,2.0,0.7,2.4,2.5,19.7,25.72,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.120434 (1.12421 pix),0.535787 (55.005 pix),7.29126,4.81816,Medium,49.0,1965.0,1032.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,749.0,2.0,2.5,good overlapping,good,white,TRUE,True,good
541,fivepoint,mission-village,2019-09-30,10.0,2137.0,199.0,5.26,6.222,6613357.0,30653839.0,E90 (8.29 mm),5472 x 3648,2.4 x 2.4 um2.,356.8,1728.0,2493.0,2.5,2.7,1.1,3.7,3.9,19.2,27.12,NAD83 / California zone 5 (ftUS) (EPSG::2229),0.155645 (1.196 pix),2.2768 (54.6192 pix),7.05995,5.19148,Medium,599.0,4560.0,3021.0,good,10.0,E90 (8.29 mm),5472 x 3648,2137.0,357.0,3.9,good overlapping,normal,red,TRUE,True,acceptable
545,independent-construction,river-islands,2019-10-03,10.0,2333.0,150.0,6.3,4.162,6370326.0,31490912.0,FC350 (3.61 mm),4000 x 3000,1.56 x 1.56 um,478.1,6900.0,5940.0,2.8,4.5,3.1,5.4,6.2,21.7,21.32,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.207406 (0.906524 pix),5.63754 (58.5998 pix),4.05903,5.9594,High,1462.0,3513.0,2903.0,normal,10.0,FC350 (3.61 mm),4000 x 3000,2333.0,478.0,6.2,good overlapping,normal,red,TRUE,True,acceptable
547,independent-construction,placer-vineyards,2019-10-04,0.05,671.0,134.0,3.72,1.062,2987346.0,12723853.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,13.6,4680.0,674.0,0.5,222.0,17.3,222.0,222.7,13.2,57.12,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.137584 (0.550153 pix),0.717918 (36.386 pix),3.26907,4.51815,High,121.0,1236.0,622.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,671.0,14.0,222.7,good overlapping,normal,blue,TRUE,True,good
549,independent-construction,los-cerros,2019-10-04,0.05,525.0,150.0,4.14,0.7892,2311076.0,9289863.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,4.4,3445.0,587.0,0.7,1.1,1.2,1.3,1.8,14.9,44.82,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.136785 (0.619559 pix),0.772026 (39.6651 pix),3.7436,4.33488,High,67.0,1071.0,783.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,525.0,4.0,1.8,good overlapping,good,white,TRUE,True,acceptable
550,independent-construction,meadowlands,2019-10-04,0.05,260.0,133.0,3.67,0.3412,1030309.0,4687815.0,FC6310R (8.8 mm),5472 x 3648,2.41 x 2.41 um,13.4,1639.0,270.0,1.1,1.2,1.1,1.6,1.9,13.1,58.32,NAD83 / California zone 2 (ftUS) (EPSG::2226),0.139775 (0.609844 pix),0.701654 (32.9623 pix),3.75994,4.89893,High,54.0,553.0,254.0,good,0.05,FC6310R (8.8 mm),5472 x 3648,260.0,13.0,1.9,good overlapping,good,red,TRUE,True,good
546,engeo,treasure-island,2019-10-05,10.0,1201.0,108.0,2.93,0.7222,4380289.0,16446492.0,FC6310 (8.8 mm),4864 x 3648,2.61 x 2.61 um,1886.0,5880.0,1050.0,4.3,3.5,1.9,5.6,5.9,11.0,832.0,NAD83 / California zone 3 (ftUS) (EPSG::2227),0.166529 (0.843412 pix),3.87157 (40.5059 pix),4.41122,4.20371,High,93.0,2259.0,2688.0,good,10.0,FC6310 (8.8 mm),4864 x 3648,1201.0,1886.0,5.9,good overlapping,good,white,TRUE,True,good
